Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2019/10/28,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,,,,,,,,,,,,,,,,,0.53,18.91757626,18.91757626,
Aruba,ABW,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.ZS,7.070367418,,,,,,,,,,7.069166545,,,,,,,,,
Aruba,ABW,Urban population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.UR.ZS,4.717903593,,,,,,,,,,4.71804376,,,,,,,,,
Aruba,ABW,Rural population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.RU.ZS,2.352463825,,,,,,,,,,2.351122785,,,,,,,,,
Aruba,ABW,"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",EN.CLC.MDAT.ZS,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,GHG net emissions/removals by LUCF (Mt of CO2 equivalent),EN.CLC.GHGR.MT.CE,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Disaster risk reduction progress score (1-5 scale; 5=best),EN.CLC.DRSK.XQ,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,SF6 gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.SF6G.KT.CE,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,PFC gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.PFCG.KT.CE,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Nitrous oxide emissions (% change from 1990),EN.ATM.NOXE.ZG,-53.75194676,-56.24144603,-54.86966508,-57.64967148,-57.60378813,-56.28208557,-51.23753939,-51.56055815,-50.2302033,-48.21290921,-46.19561513,-45.65757128,-45.11952743,,,,,,,
Aruba,ABW,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,5.468121,5.173776,5.335968,5.007275,5.0127,5.168971,5.765411,5.727219,5.884513,6.123027,6.361541,6.42515641,6.48877182,,,,,,,
Aruba,ABW,Methane emissions (% change from 1990),EN.ATM.METH.ZG,18.94075167,21.34771493,24.5381108,27.29165568,30.48205155,32.98323757,36.23359338,39.99393812,43.26933214,46.58030678,49.8385694,51.33695509,52.83534078,,,,,,,
Aruba,ABW,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,18.0514,18.4167,18.9009,19.3188,19.803,20.1826,20.6759,21.2466,21.7437,22.2462,22.7407,22.968107,23.195514,,,,,,,
Aruba,ABW,HFC gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.HFCG.KT.CE,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Total greenhouse gas emissions (% change from 1990),EN.ATM.GHGT.ZG,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Other greenhouse gas emissions (% change from 1990),EN.ATM.GHGO.ZG,16.66666667,16.66666667,-295.8333333,-83.33333333,-137.5,-204.1666667,-166.6666667,-141.6666667,-291.6666667,0,-137.5,-216.6666667,-33.33333333,,,,,,,
Aruba,ABW,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,CO2 emissions from solid fuel consumption (% of total),EN.ATM.CO2E.SF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Aruba,ABW,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Aruba,ABW,CO2 emissions (kg per 2011 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,0.629363273,0.656631425,0.687120848,0.708259831,0.670417987,0.688349919,0.680275207,0.694397932,0.654409835,0.723275521,0.716385715,0.690496144,0.377759214,0.231512667,0.232496052,,,,,
Aruba,ABW,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.790906775,0.807462956,0.831798864,0.841756584,0.775893403,0.772581072,0.741091343,0.736687159,0.681017085,0.746988074,0.731350323,0.690496144,0.370650693,0.223238507,0.220024129,,,,,
Aruba,ABW,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,26.19487524,25.93402441,25.67116178,26.42045209,26.51729342,27.20070778,26.94772597,27.89502282,26.22955267,25.91532206,24.67052887,24.50751622,13.15772231,8.353561008,8.410064178,,,,,
Aruba,ABW,CO2 emissions from liquid fuel consumption (% of total),EN.ATM.CO2E.LF.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,
Aruba,ABW,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,2379.883,2409.219,2438.555,2563.233,2618.238,2720.914,2717.247,2823.59,2658.575,2629.239,2508.228,2500.894,1349.456,861.745,872.746,,,,,
Aruba,ABW,CO2 emissions (kt),EN.ATM.CO2E.KT,2379.883,2409.219,2438.555,2563.233,2618.238,2720.914,2717.247,2823.59,2658.575,2629.239,2508.228,2500.894,1349.456,861.745,872.746,,,,,
Aruba,ABW,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.921790515,0.961728537,1.006384559,1.037345555,0.981920883,1.008184706,0.996358161,1.017042867,0.958474707,1.059338133,1.049247048,1.011328153,0.553281189,0.339082672,0.340522976,,,,,
Aruba,ABW,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Aruba,ABW,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Aruba,ABW,CO2 intensity (kg per kg of oil equivalent energy use),EN.ATM.CO2E.EG.ZS,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0.175266081,0.180523335,0.181390903,0.184549671,0.187054711,0.18659945,0.189937227,0.190059132,0.193546026,0.299773816,5.464715906,5.661788374,6.855849569,6.889752984,6.927501542,6.726747566,,,,
Aruba,ABW,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0,0,0,0,0,0,0,0,0,0,11.32737715,12.10102096,14.91525424,14.91218619,15.09927995,14.85616144,,,,
Aruba,ABW,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,91.660398,100,100,100,100,100,100,100,100,100,93.35629215,100,100,100,100,100,100,100,,
Aruba,ABW,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,-6.828727173,-13.90165842,17.12805755,7.904919845,-4.743043369,-8.915590376,9.086771661,-18.01110874,0.687830688,-0.424770847,7.812573031,19.14548642,-12.41569319,8.768768362,9.458283576,-1.069090556,0.792699282,6.015721969,,
Aruba,ABW,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Forest area (% of land area),AG.LND.FRST.ZS,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,,,
Aruba,ABW,Forest area (sq. km),AG.LND.FRST.K2,4.199999869,4.199999869,4.199999869,4.199999869,4.199999869,4.199999869,4.199999869,4.199999869,4.199999869,4.199999869,4.199999869,4.199999869,4.199999869,4.199999869,4.199999869,4.199999869,4.199999869,,,
Aruba,ABW,Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS,7.07036754,,,,,,,,,,7.07036754,,,,,,,,,
Aruba,ABW,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,4.717903532,,,,,,,,,,4.717903532,,,,,,,,,
Aruba,ABW,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,8.57979393,,,,,,,,,,8.57979393,,,,,,,,,
Aruba,ABW,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,2.352464008,,,,,,,,,,2.352464008,,,,,,,,,
Aruba,ABW,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,4.278098583,,,,,,,,,,4.278098583,,,,,,,,,
Aruba,ABW,Arable land (% of land area),AG.LND.ARBL.ZS,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,,,
Aruba,ABW,Agricultural land (% of land area),AG.LND.AGRI.ZS,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,,,
Aruba,ABW,Agricultural land (sq. km),AG.LND.AGRI.K2,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,,
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,22.078,22.169,22.261,22.353,22.5,22.703,22.907,23.113,23.32,23.528,23.737,23.948,24.16,24.373,24.587,24.803,25.02,25.25,25.495,
Afghanistan,AFG,Urban population,SP.URB.TOTL,4587798,4790053,5031157,5293385,5563504,5824291,6055019,6263747,6464835,6680732,6927764,7212518,7528588,7865067,8204877,8535606,8852859,9164841,9477100,
Afghanistan,AFG,Urban population growth (annual %),SP.URB.GROW,3.392622011,4.314130568,4.910850146,5.080795027,4.977019778,4.580914972,3.88502396,3.389105344,3.159892151,3.285007253,3.630954363,4.028102148,4.288938013,4.37235476,4.229767834,3.951762191,3.649410221,3.463407483,3.350382976,
Afghanistan,AFG,"Population, total",SP.POP.TOTL,20779953,21606988,22600770,23680871,24726684,25654277,26433049,27100536,27722276,28394813,29185507,30117413,31161376,32269589,33370794,34413603,35383128,36296400,37172386,
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,2.975052846,3.902805701,4.496719561,4.668361494,4.321539296,3.682731797,2.990478094,2.493842299,2.268277145,2.397020991,2.74657628,3.143125903,3.407586974,3.494589049,3.355581661,3.077083595,2.778317409,2.548346644,2.3847611,
Afghanistan,AFG,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,,,,,32.9,,,,,,,,,25,,,,,,
Afghanistan,AFG,"Community health workers (per 1,000 people)",SH.MED.CMHW.P3,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,129.4,125.4,121.2,117,112.8,108.5,104.3,100.1,95.9,91.9,88,84.1,80.5,76.9,73.6,70.4,67.5,64.7,62.3,
Afghanistan,AFG,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,,0,,0.54426,0.40582,0.54769,0.57323,0.5672,0.58602,0.60961,0.62581,0.66345,0.66925,0.65533,0.65402,0.64754,,0.64621,,
Afghanistan,AFG,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,38.62789186,37.41885544,29.72106714,31.11485491,28.63596858,30.10501136,24.89227001,29.29750105,26.21006854,23.74366399,24.39087363,22.81066274,22.13704137,20.63432272,21.08108621,20.46650517,,
Afghanistan,AFG,CPIA public sector management and institutions cluster average (1=low to 6=high),IQ.CPA.PUBS.XQ,,,,,,,2.3,2.2,2.2,2.4,2.4,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.6,
Afghanistan,AFG,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,,,,,,,,,,,,,,,,173
Afghanistan,AFG,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,0.10470704,0.104707035,0.104707035,
Afghanistan,AFG,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,,,,,,,,,,,,,,,,,0.1,0.104707035,0.104707035,
Afghanistan,AFG,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,43.0116649,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,20.28,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,11.55492989,11.60956354,11.59608279,11.5627546,11.46154899,11.32434175,11.26688412,11.26552626,11.28999654,11.29918693,11.26930911,11.1950286,11.09224445,10.98009646,10.8845747,10.8199743,10.78830848,10.78150175,10.79233924,
Afghanistan,AFG,Population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.ZS,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Urban population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.UR.ZS,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Rural population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.RU.ZS,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",EN.CLC.MDAT.ZS,,,,,,,,,,1.059290169,,,,,,,,,,
Afghanistan,AFG,GHG net emissions/removals by LUCF (Mt of CO2 equivalent),EN.CLC.GHGR.MT.CE,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Disaster risk reduction progress score (1-5 scale; 5=best),EN.CLC.DRSK.XQ,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,SF6 gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.SF6G.KT.CE,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,PFC gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.PFCG.KT.CE,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Nitrous oxide emissions (% change from 1990),EN.ATM.NOXE.ZG,20.68154515,11.30550526,22.79544057,21.42828943,21.98439959,24.14454352,24.66794132,26.27761516,27.25560199,21.57605906,22.13668127,23.35804809,24.5794149,,,,,,,
Afghanistan,AFG,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,3316.566,3058.894,3374.66,3337.088,3352.371,3411.736,3426.12,3470.357,3497.234,3341.149,3356.556,3390.12156,3423.68712,,,,,,,
Afghanistan,AFG,Methane emissions (% change from 1990),EN.ATM.METH.ZG,23.02958474,13.62057166,30.17798568,35.69965835,37.93890067,40.26336007,42.50784653,44.86508172,47.15545429,50.73326009,76.90145498,78.67046953,80.43948408,,,,,,,
Afghanistan,AFG,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,9384.18,8666.5,9929.43,10350.6,10521.4,10698.7,10869.9,11049.7,11224.4,11497.3,13493.3,13628.233,13763.166,,,,,,,
Afghanistan,AFG,HFC gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.HFCG.KT.CE,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Total greenhouse gas emissions (% change from 1990),EN.ATM.GHGT.ZG,8.005549003,0.458057347,10.49425182,17.41590538,16.97281848,17.89786755,18.52761688,21.90782954,22.03668154,24.15716007,42.01234411,43.5287644,,,,,,,,
Afghanistan,AFG,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,13530.953,12585.402,13842.7381,14709.884,14654.374,14770.2643,14849.1594,15272.633,15288.7756,15554.4295,17791.3299,17981.30729,18168.86,,,,,,,
Afghanistan,AFG,Other greenhouse gas emissions (% change from 1990),EN.ATM.GHGO.ZG,-20.95625,52.198125,-97.9786875,243.501875,67.05125,-38.3960625,-74.9985,27.85125,-94.36275,-1.2075,118.125,118.125,118.125,,,,,,,
Afghanistan,AFG,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,-1595.865842,-1502.077331,-1851.18009,-1561.237636,-2074.233014,-2372.959595,-2700.589577,-2158.690068,-3399.841421,-4349.247749,-5386.930223,-5989.187246,-6528.831159,,,,,,,
Afghanistan,AFG,CO2 emissions from solid fuel consumption (% of total),EN.ATM.CO2E.SF.ZS,0.473933649,8.520179372,5.136986301,7.668711656,9.652509653,8.011049724,9.777777778,32.90322581,25.6320837,22.69772481,27.16637782,35.17076093,34.0947835,39.36287074,44.63551402,,,,,
Afghanistan,AFG,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,3.667,69.673,55.005,91.675,91.675,106.343,161.348,748.068,1078.098,1536.473,2299.209,4305.058,3667,3942.025,4378.398,,,,,
Afghanistan,AFG,CO2 emissions (kg per 2011 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,,,0.046619964,0.047824337,0.037465601,0.047078291,0.055546868,0.0672351,0.119687231,0.158683326,0.173481027,0.249835882,0.194695173,0.171671357,0.163691341,,,,,
Afghanistan,AFG,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,,,0.056436117,0.056838534,0.043359983,0.052839109,0.060512719,0.071329756,0.124553521,0.163885751,0.177104879,0.249835882,0.191031477,0.165535899,0.15491035,,,,,
Afghanistan,AFG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.037234781,0.037846136,0.047377324,0.050481336,0.038410043,0.051743965,0.062427532,0.083892806,0.151720912,0.238398541,0.28998763,0.406424217,0.345148783,0.310341015,0.293946407,,,,,
Afghanistan,AFG,CO2 emissions from liquid fuel consumption (% of total),EN.ATM.CO2E.LF.ZS,64.4549763,60.0896861,41.09589041,50.30674847,62.54826255,64.91712707,68.88888889,52.74193548,66.8700959,73.07692308,69.36741768,62.16297184,62.87078077,57.41486635,52.07476636,,,,,
Afghanistan,AFG,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,498.712,491.378,440.04,601.388,594.054,861.745,1136.77,1199.109,2812.589,4946.783,5870.867,7609.025,6761.948,5749.856,5108.131,,,,,
Afghanistan,AFG,CO2 emissions (kt),EN.ATM.CO2E.KT,773.737,817.741,1070.764,1195.442,949.753,1327.454,1650.15,2273.54,4206.049,6769.282,8463.436,12240.446,10755.311,10014.577,9809.225,,,,,
Afghanistan,AFG,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,,,0.143435708,0.147141206,0.115270468,0.144845844,0.170901126,0.206862327,0.368241872,0.488221214,0.533749321,0.768670412,0.599018913,0.528181507,0.503629381,,,,,
Afghanistan,AFG,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,28.90995261,25.56053812,51.02739726,38.95705521,23.93822394,24.86187845,20,13.5483871,7.06190061,4.008667389,3.206239168,2.516476932,2.863961814,2.96594654,2.76635514,,,,,
Afghanistan,AFG,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,223.687,209.019,546.383,465.709,227.354,330.03,330.03,308.028,297.027,271.358,271.358,308.028,308.028,297.027,271.358,,,,,
Afghanistan,AFG,CO2 intensity (kg per kg of oil equivalent energy use),EN.ATM.CO2E.EG.ZS,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,54.24312637,54.05505504,43.77114857,42.27614088,49.8431477,40.85917122,37.13724949,33.86257883,21.34370808,17.81385476,14.83980596,11.48270623,13.97358569,16.33429251,19.31426861,18.42347717,,,,
Afghanistan,AFG,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,74.98909408,72.81145999,79.0639712,70.24972856,70.89084065,74.06181015,70.75575027,72,68.65482234,87.17660292,85.98654709,82.48756219,85.90998043,78.6364081,85.32354903,86.05011125,,,,
Afghanistan,AFG,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,23,26.92931747,33.01575089,42.4,45.23712158,42.7,43.22201891,69.1,70.15348053,89.5,71.5,97.7,97.7,,
Afghanistan,AFG,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,1.232991823,1.280017457,3.575818629,4.364533544,3.414003887,1.93570173,0.399170734,0.451055983,1.203125109,0.293038637,0.284095348,0.234965317,0.209790229,0.849679315,0.483360246,0.255222349,0.718897994,
